"Country Name","Series Name","Employment Ratio","GDP","Gini Coefficient","Annual Inflation","Annual GHG Emissions","Annual PM2.5 Exposure","Natural Disasters","Died","Died per 100K","Died Cancer","Died Cancer per 100K","Died Lower Resp","Died Lower Resp per 100K","Life Expectancy"
"Mexico",1990,,261253675692.84,,26.65167256,640487040,32.68135,3,421736,499.1785621,41125,48.67670383,23903,28.29226144,69.9707
"Mexico",1991,57.98,313139656145.75,,22.66235946,617435650,,4,410425,475.5077451,41953,48.60565616,20943,24.26401585,70.2977
"Mexico",1992,58.64,363157832923.73,0.52311224,15.50789625,603677500,,3,409427,473.9522861,43684,50.56855475,20091,23.25732152,70.6161
"Mexico",1993,59.324,530160763983.51,,9.751460454,606933400,,8,416029,472.8913472,44939,51.08120888,19830,22.54034073,70.9423
"Mexico",1994,58.718,553618247900.74,0.5342256,6.965812372,628397000,,2,418908,467.7186507,46422,51.83103498,20612,23.01368517,71.2787
"Mexico",1995,57.145,380157469866.85,,34.99927129,614209900,31.75916,11,430101,471.8855189,48218,52.90240188,21023,23.06539456,71.6457
"Mexico",1996,58.131,432157945024.43,0.51974005,34.37838322,622831500,,6,436185,468.2757297,49916,53.5883887,21909,23.52087523,72.0369
"Mexico",1997,60.265,523449530464.26,,20.62562873,663452900,,9,440259,465.3359448,51251,54.17023276,21050,22.24899806,72.4454
"Mexico",1998,60.364,557461102630.66,0.5328452,15.92839501,692939600,,10,444665,462.9211231,52670,54.83241441,18000,18.73900625,72.8448
"Mexico",1999,60.401,631249359702.39,,16.58561697,689201660,,11,443950,455.4041802,53662,55.04651226,17507,17.95869126,73.2249
"Mexico",2000,60.06,742061329643.37,0.5342036,9.491561494,700514700,30.409166,8,437667,442.5355773,54996,55.60777168,15509,15.68152104,73.5692
"Mexico",2001,59.387,796064590656.18,,6.367738062,709822340,,6,441004,439.693042,55891,55.72485467,14253,14.21063058,73.8668
"Mexico",2002,56.204,810666116505.48,0.50583386,5.030727332,711480200,,8,457680,450.0969555,58328,57.36159592,14803,14.55773736,74.1059
"Mexico",2003,56.265,765549967703.27,,4.546900121,740620100,,9,470692,456.6233435,59873,58.08343767,14768,14.32659475,74.2743
